Course Title	Rating	Level	Schedule	What you will learn	Skill gain	Modules	Instructor	Offered By	Department	Course Url	Duration to complete (Approx.)	Keywords	Number of Review
The Art of Vocal Production	4.7	Beginner level	Flexible schedule	Discuss the various types of dynamics processing and when to use each and apply equalization to a vocal track to enhance and improve the quality. Define, describe, and apply time based effects and use them to enhance the sound of a vocal track. Compare audio editing techniques, including time based and tempo based. Discuss how technology has changed the music recording industry.	Music, Audio Recording, Singing, Music production, Music technology	Welcome To The Art of Vocal Production, Natural Vocal Design: How Vocal Producers Create  , Artificial Vocal Design: How Vocal Producers “Sweeten” the Creation, Vocal Time Compression and Expansion: Tools of the Trade , Vocal Pitch Correction and Tuning: More tools of the Trade	Prince Charles Alexander	Berklee	Arts and Humanities	https://www.coursera.org/learn/vocal-production	11.0	Music,Art & Humanities	360.0
Reimagining Blackness and Architecture	4.8	Beginner level	Flexible schedule	Recognize how race and racism shape architecture and the built environment and the role we as individuals play in creating a just and equitable world. Explore work by Black architects and artists and discover how Black makers have shaped and reimagined the built environment. Find inspiration by learning about the ways Black makers have fashioned their own paths and advocated for better futures.	anti-racism, Art, History, Humanities, Architecture	Introduction, Imagination, Care, Knowledge, Refusal, Liberation	Sean Anderson, Arlette Hernandez	The Museum of Modern Art	Arts and Humanities	https://www.coursera.org/learn/blackness-architecture	14.0	Race & Racism,History & Religion,Design,Art & Humanities	67.0
In Search for the Origins of Korean Philosophy	0.0	Intermediate level	Flexible schedule	Understand the terms ‘Name, Language, and Religion’ in the context of Korean identity. Have a solid understanding of previous names of Korea. Have a basic understanding of  the early written language Koreans used (prior to Hangeul) and spoken Korean language. Be able to recognize the harmonious co-existence of Confucianism and Buddhism in Korea.	Philosophy, History, Culture, Language, Korean philosophy	Philosophizing through Primary Sources , Korean Identity through the Names Called by Others, Korean Language and Korean Thought, Before Confucianism and Buddhism Introduced, Confucianism and Buddhism Introduced into Korea, Development of Korean Spirituality through Buddhism	SO JEONG PARK	Sungkyunkwan University	Arts and Humanities	https://www.coursera.org/learn/in-search-for-the-origins-of-korean-philosophy	15.0	Philosophy,Asian Studies,History & Religion,Languages & Literature	0.0
Pro Tools Basics	4.7	Not specified	Flexible schedule	Identify the various components in the Pro Tools interface and organize session files. Discuss difference between a synthesizer and sampler and know how to use each of themRecord a live performance into Pro Tools. Balance your production mix by adjusting levels, using pan, and applying effects such as EQ, reverb, and compression.	Music, Pro Tools, Music production, Music recording, MIDI	Welcome to Pro Tools Basics!, Diving In, Exploring MIDI and Software Instruments, Recording and Manipulating Audio, Mixing and Mastering	Chrissy Tignor	Berklee	Arts and Humanities	https://www.coursera.org/learn/protools	11.0	Music	583.0
Building Your Career in Music: Developing A Brand and Funding Your Music	4.4	Beginner level	Flexible schedule	Describe and discuss your identity, vision, and intention and identify strategies to balance the management of the band and the creation of the music. Develop your musical brand, build and leverage a network of industry professionals, and discuss the benefits of partnering with other brands. Develop a vision for a recording project and engage in a professional conversation with producers. Plan, design, and launch a crowdfunding campaign.	Social Media, Music business, Networking, Marketing, Crowdfunding	Welcome!, Your Foundation, Your Brand, Your Record, Your Money, Your Career	Leah Waldo	Berklee	Arts and Humanities	https://www.coursera.org/learn/navigate-music-industry-independent-artist	8.0	Music,Branding	460.0
Art & Ideas: Teaching with Themes	4.8	Intermediate level	Flexible schedule	Explore works of modern and contemporary art through a variety of accessible themes that relate to classroom content and student experiences. Learn about the ways that a thematic approach supports interdisciplinary teaching and learning. Hear directly from artists about their ideas and processes. Gain exposure to a range of digital resources available for teaching with themes and incorporating content around works of art into your classroom.	Not specified	Introduction to Art & Ideas, Places & Spaces, Art & Identity, Transforming Everyday Objects, Art & Society, Teaching with Themes	Francis Estrada, Lisa Mazzola, Larissa Raphael	The Museum of Modern Art	Arts and Humanities	https://www.coursera.org/learn/ideas	14.0	Art & Humanities	458.0
The Cosmopolitan Medieval Arabic World	4.8	Beginner level	Flexible schedule	In this course you will find out that the Arabic Medieval World was diverse, advanced and connected.In this course you will learn that knowledge travels between cultures and that the Arabic Medieval World influenced the world as we know it today.	Not specified	Welcome to this Course, The Medieval Islamic City, Travel & Religion, Trade, Power Play, Science, In conclusion: the Cosmopolitain Medieval Arabic World	Prof. dr. Petra Sijpesteijn	Universiteit Leiden	Arts and Humanities	https://www.coursera.org/learn/medieval-arabia	24.0	History & Religion	380.0
Approaching Music Theory: Melodic Forms and Simple Harmony	4.7	Intermediate level	Flexible schedule	Analyze the relationship between the technical details and aesthetics of music. Explore how culture, psychology, physics, formal context, and a sense of play all shape musical language. Discover ways in which music theory may be relevant to enjoying, communicating a love for, and performing music. Demonstrate confidence in the kind of musical self-analysis that can help you develop your own musical ideas.	Music, Jazz, Music composition, Classical Music, Music theory	Course Overview, Melodic Structures: Lines, Shapes, and Simple Modes, Melodic Structures: Simplicity, Repetition, and Change, Combining Pitches: Consonance and Dissonance , Cadences and Basic Harmonic Function	Marc Lowenstein	California Institute of the Arts	Arts and Humanities	https://www.coursera.org/learn/melodic-forms-simple-harmony	22.0	Music	151.0
Art & Activity: Interactive Strategies for Engaging with Art	4.8	Intermediate level	Flexible schedule	Understand the definition of “activity” and other terminology used to discuss active learningAnalyze the formats and techniques that make for a good activity. Understand the benefits of activity-based learning and its impact on students’ personal development. Practice active learning from a student’s perspective.	Not specified	Introduction to Art and Activity, Activities for Analyzing and Reflecting, Activities for Creating, Imagining, and Connecting, Assessment Strategies	Francis Estrada, Lisa Mazzola, Larissa Raphael	The Museum of Modern Art	Arts and Humanities	https://www.coursera.org/learn/art-activity	11.0	Art & Humanities,Education	1218.0
Moneyball and Globalization	0.0	Beginner level	Flexible schedule	Describe how money shapes baseball. Understand how baseball connects to the international arena. Reflect on history's influence on the business of baseball. 	Sports, Culture, America, Baseball, US History	America Expands Abroad, Silver and Golden Ages, Baseball and America Move West, The Worker	Tom Zeiler	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/moneyball-and-globalization	9.0	History & Religion,Accounting & Finance,Business	0.0
Graphic Elements of Design: Color Theory and Image Formats	4.7	Beginner level	Flexible schedule	Discriminate between CMYK, Pantone and RGB color options. Categorize the various kind of image files and understand their usages. Recognize the ideal (and less than ideal) combination of graphics and text in logo design.	Print Design, online design, Color Theory, Graphic Design, textual elements	Understanding Color Theory, Classifications of Images and Graphics, Combining Images with Type	Lori Poole	University of Colorado Boulder	Arts and Humanities	https://www.coursera.org/learn/graphic-elements-design	12.0	Design	529.0
History of Rock, Part One	4.8	Beginner level	Flexible schedule	Students will be able to summarize and describe the evolution of rock music starting in the early 1950's to the end of the 1960's.	Not specified	Introduction, The World Before Rock and Roll (1900-1955), The Birth and First Flourishing of Rock and Roll (1955-59), The Demise of Rock and the Promise of Soul (1959-63), The Beatles and the British Invasion (1964-66), American Responses (1965-67), Motown Pop and Southern Soul (1960-69), Psychedelia (1966-69), Final Exam	John Covach	University of Rochester	Arts and Humanities	https://www.coursera.org/learn/history-of-rock	13.0	History & Religion,Music	1132.0
